name,year,index,citation
Benjamin Pratt,1708,2,19
"Philip Stanhope, 2nd Earl of Chesterfield",1708,NULL,NULL
Richard Tighe,1708,12,464
Michelangelo Tilli,1708,NULL,NULL
Thomas Whalley,1708,NULL,NULL
Thomas Woodford,1708,NULL,NULL
Henry Cressener,1709,NULL,NULL
Guido Grandi,1709,47,13826
Robert Hunter,1709,38,6416
Johann Friedrich Leopold,1709,6,129
Lorenzo Magalotti,1709,NULL,NULL
Henry Newton,1709, ,0
Samuel Tufnell,1709,NULL,NULL
Joshua Barnes,1710,25,6679
Vendramino Bianchi,1710,NULL,NULL
Owen Brigstocke,1710,NULL,NULL
Alexander Geekie,1710,NULL,NULL
John Machin,1710,12,387
Giovanni Poleni,1710,NULL,NULL
Joseph Tanner,1710,1,9
"Christian, Freiherr von Wolff",1710,1,17
Fettiplace Bellers,1711,NULL,NULL
Ludwig Friedrich Bonet,1711,NULL,NULL
William Cheselden,1711,NULL,NULL
Peter Colleton,1711,NULL,NULL
Roger Cotes,1711,NULL,NULL
John Craig,1711,24,2061
Walter Douglas,1711,10,454
Thomas Greene,1711,75,45713
Samuel Hill,1711,3,19
William Jones,1711,62,15192
Alexander Sandilands,1711,NULL,NULL
"Marmaduke Wyvill, 5th Baronet",1711,NULL,NULL
"John Fortescue Aland, 1st Baron Fortescue of Credan",1712,5,134
Giuseppe Averani,1712,NULL,NULL
Jean Bernoulli,1712,NULL,NULL
Patrick Blair,1712,37,6157
Richard Bradley,1712,15,719
Thomas Bower,1712,54,8343
Rinaldo Duliolo,1712,NULL,NULL
John Freind,1712,NULL,NULL
Pietro Grimani,1712,NULL,NULL
"Robert Harley, 1st Earl of Oxford and Mortimer",1712,44,5759
"George Hay, 8th Earl of Kinnoull",1712,10,335
James Keill,1712,NULL,NULL
John Kemp,1712,58,11546
Richard Myddleton Massey,1712,NULL,NULL
Samuel Molyneux,1712,3,62
Peter Le Neve,1712,5,72
"Thomas Parker, 1st Earl of Macclesfield",1712,19,2179
Thomas Pellet,1712,NULL,NULL
Thomas Rawlinson,1712,NULL,NULL
Richard Richardson,1712,14,907
Thomas Sprat,1712,NULL,NULL
Brook Taylor,1712,NULL,NULL
William Tempest,1712,9,251
Louis D'Aumont de Rochebaron,1713,NULL,NULL
"Giovanni Antonio, Count Baldini",1713,NULL,NULL
Richard Barrett,1713,14,675
Francesco Bianchini,1713,3,33
John Colson,1713,7,917
John Inglis,1713,31,2686
Daniel Ernest Jablonski,1713,NULL,NULL
Von Kreienberg,1713,NULL,NULL
Cotton Mather,1713,3,11
Pierre de Mellarede,1713,NULL,NULL
Charles Oliphant,1713,NULL,NULL
"John Poulett, 1st Earl Poulett",1713,NULL,NULL
Iver Rosenkrantz,1713,NULL,NULL
"Henry St. John, Viscount Bolingbroke",1713,2,9
George Tollet,1713,NULL,NULL
Nicholas Bernoulli,1714,NULL,NULL
William Brattle,1714,NULL,NULL
Thomas Bromfield,1714,NULL,NULL
John Theophilus Desaguliers,1714,NULL,NULL
Martin Folkes,1714,NULL,NULL
Thomas Jett,1714,NULL,NULL
Robert Keck,1714,21,1795
John Leveret,1714,NULL,NULL
Alexander Danilovich Menicoff,1714,NULL,NULL
Richard Rawlinson,1714,NULL,NULL
Johann Georg Steigertahl,1714, ,0
Alexander Stuart,1714,4,71
Edmond Turner,1714,NULL,NULL
Pierre Varignon,1714,NULL,NULL
Thomas Watkins,1714,20,1450
Jacques d'Allonville,1715,NULL,NULL
"George Cholmondeley, 2nd Earl of Cholmondeley",1715,NULL,NULL
Antonio Schinella Conti,1715,NULL,NULL
Justus van Effen,1715,NULL,NULL
Claude Joseph Geoffroy,1715,6,176
John Godfey,1715,NULL,NULL
"James Hamilton, 7th Earl of Abercorn",1715,52,7855
Thomas Hodges,1715,27,2698
Paul Jacob Marperger,1715,4,28
Pierre Remond de Montmort,1715,NULL,NULL
John Noore,1715,NULL,NULL
Francis Pemberton,1715,NULL,NULL
Friedrich Ruysch,1715,NULL,NULL
Willem 's Gravesande,1715,NULL,NULL
John Sherlock,1715,18,1027
Bruno Tozzi,1715,NULL,NULL
Nicolo Troni,1715,NULL,NULL
Michaele Bernado Valentini,1715,NULL,NULL
Levinus Vincent,1715,NULL,NULL
"Francois Wicardel, Chevalier de Fleury",1715,NULL,NULL
Claudius Amyand,1716,NULL,NULL
Thomas Cartwright,1716,14,541
"Johann Adolph, Baron von Diescau",1716,NULL,NULL
